Expression Group
16.1 HighDose
134.9 HighDose
52.7 HighDose
14.4 HighDose
124.3 HighDose
99 HighDose
24.3 HighDose
16.3 HighDose
15.2 HighDose
47.7 HighDose
12.9 HighDose
72.7 HighDose
126.7 HighDose
46.4 HighDose
60.3 HighDose
23.5 HighDose
43.6 HighDose
79.4 HighDose
38 HighDose
58.2 HighDose
26.5 HighDose
297.1 Control1
491.8 Control1
1332.9 Control1
1172 Control1
1482.7 Control1
335.4 Control1
528.9 Control1
24.1 Control1
545.2 Control1
92.9 Control1
337.1 Control1
102.3 Control1
255.1 Control1
100.5 Control1
159.9 Control1
168 Control1
95.2 Control1
132.5 Control1
442.6 Control1
15.8 Control1
175.6 Control1
25.1 Control2
820.1 Control2
82.5 Control2
713.9 Control2
785.6 Control2
114 Control2
31.9 Control2
86.3 Control2
646.6 Control2
169.9 Control2
20.2 Control2
280.2 Control2
194.2 Control2
408.4 Control2
155.5 Control2
864.6 Control2
355.4 Control2
634 Control2
2029.9 Control2
362.1 Control2
131.1 Control3
166.5 Control3
2258.4 Control3
497.5 Control3
263.4 Control3
252.3 Control3
351.4 Control3
678.9 Control3
3010.2 Control3
67.1 Control3
318.2 Control3
2476.4 Control3
181.4 Control3
2081.5 Control3
424.3 Control3
188.1 Control3
563 Control3
149.1 Control3
2122.9 Control3
1295.9 Control3
